"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 28 04:34:46 GMT 2025","Mon Apr 28 04:34:48 GMT 2025","2007","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'create account' interface from the Console","This test attempts to load the 'create account' page from the Console."
"passed","Mon Apr 28 04:34:49 GMT 2025","Mon Apr 28 04:34:55 GMT 2025","5240","tests.00-georchestra-base","test_georchestra_apps","","","","Test the DataFeeder webapp","This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed."
"passed","Mon Apr 28 04:37:06 GMT 2025","Mon Apr 28 04:37:12 GMT 2025","6644","tests.console","test_console","","","","test_upload_organization_logo[chromium]","This test attempts add a logo to Camptocamp organization"
"passed","Mon Apr 28 04:34:48 GMT 2025","Mon Apr 28 04:34:49 GMT 2025","1297","tests.00-georchestra-base","test_georchestra_apps","","","","Test the 'password recovery' interface from the Console","This test attempts to load the 'password recovery' page from the Console."
"passed","Mon Apr 28 04:36:22 GMT 2025","Mon Apr 28 04:36:31 GMT 2025","8919","tests.console","test_console","","","","test_create_user_by_admin[chromium]","This test attempts to create the John Doe user by an admin."
"failed","Mon Apr 28 04:38:22 GMT 2025","Mon Apr 28 04:39:18 GMT 2025","56216","tests.datafeeder","test_ingest_data","","","","test_import_shp_datafeeder[chromium]","This test attempts to load a SHP file through datafeeder and check links."
"passed","Mon Apr 28 04:35:07 GMT 2025","Mon Apr 28 04:35:14 GMT 2025","7188","tests.console","test_console","","","","test_create_signup[chromium]","This test attempts to create the John Doe user by an admin."
"failed","Mon Apr 28 04:39:21 GMT 2025","Mon Apr 28 04:39:21 GMT 2025","69","tests.00-georchestra-base","test_georchestra_headers","","","","Test the GeoNetwork webapp","This test attempts to load GeoNetwork."
"passed","Mon Apr 28 04:35:15 GMT 2025","Mon Apr 28 04:35:22 GMT 2025","7384","tests.console","test_console","","","","test_validate_created_user[chromium]","This test attempts to validate the John Doe user by an admin."
"passed","Mon Apr 28 04:35:22 GMT 2025","Mon Apr 28 04:35:35 GMT 2025","13217","tests.console","test_console","","","","test_change_mail_and_password[chromium]","This test attempts to change Bob Dylan's informations."
"passed","Mon Apr 28 04:34:20 GMT 2025","Mon Apr 28 04:34:42 GMT 2025","21563","tests.00-georchestra-base","test_00_check_apps_init","","","","Load GeoNetwork wro4j cache","This test attempts to load every GeoNetwork wro4j."
"passed","Mon Apr 28 04:34:55 GMT 2025","Mon Apr 28 04:34:59 GMT 2025","4097","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoServer webapp","This test attempts to load the GeoServer main page."
"passed","Mon Apr 28 04:34:42 GMT 2025","Mon Apr 28 04:34:45 GMT 2025","2963","tests.00-georchestra-base","test_georchestra_apps","","","","Test the GeoNetwork webapp","This test attempts to load GeoNetwork."
"passed","Mon Apr 28 04:39:18 GMT 2025","Mon Apr 28 04:39:20 GMT 2025","2051","tests.00-georchestra-base","test_georchestra_headers","","","","Test the GeoNetwork webapp","Test if data-api response headers contains only one Access-Control-Allow-Origin header."
"passed","Mon Apr 28 04:35:36 GMT 2025","Mon Apr 28 04:35:51 GMT 2025","14736","tests.console","test_console","","","","test_roles_and_delegations[chromium]","This test attempts to change Bob Dylan's roles and add a delagation."
"passed","Mon Apr 28 04:37:13 GMT 2025","Mon Apr 28 04:37:18 GMT 2025","5305","tests.console","test_console","","","","test_delete_user[chromium]","This test attempts delete the John Doe user by an admin."
"passed","Mon Apr 28 04:34:59 GMT 2025","Mon Apr 28 04:35:06 GMT 2025","7109","tests.00-georchestra-base","test_georchestra_apps","","","","Test the MapStore webapp","This test attempts to load the MapStore landing page."
