"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Geoserver","0","Web interface","1","0","","0"
"0","Geonetwork","0","Metadata import","1","0","","0"
"0","Console","0","Web interface","2","0","","0"
"0","Mapstore","0","Web interface","1","0","","0"
"0","Console","0","User informations change","1","0","","0"
"0","Datafeeder","1","Ingestion","0","0","","0"
"0","Console","1","User creation","2","0","","0"
"0","Geonetwork","0","Web interface","1","0","","0"
"0","Data API","0","Headers","1","0","","0"
"0","Console","1","User roles and delegations change","0","0","","0"
"0","Datafeeder","0","Web interface","1","0","","0"
"0","Geonetwork-ui","1","Web-component map embedding","0","0","","0"
"0","Geonetwork","0","Wro4j","1","0","","0"
"0","Geoserver","0","Headers","1","0","","0"
"0","Console","0","User deletion","1","0","","0"
"0","Geonetwork-ui","1","Web-component table embedding","0","0","","0"
"0","Console","0","Organization logos","1","0","","0"
