"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test attempts to load the 'password recovery' page from the Console.","1285","Test the 'password recovery' interface from the Console","tests.00-georchestra-base","Mon May 19 13:12:37 GMT 2025","passed","Mon May 19 13:12:38 GMT 2025","","test_georchestra_apps","",""
"This test attempts to create the John Doe user by an admin.","13071","test_create_user_by_admin[chromium]","tests.console","Mon May 19 13:13:38 GMT 2025","failed","Mon May 19 13:13:51 GMT 2025","","test_console","",""
"This test attempts to load every GeoNetwork wro4j.","12568","Load GeoNetwork wro4j cache","tests.00-georchestra-base","Mon May 19 13:12:18 GMT 2025","passed","Mon May 19 13:12:31 GMT 2025","","test_00_check_apps_init","",""
"This test attempts add a logo to Camptocamp organization","6604","test_upload_organization_logo[chromium]","tests.console","Mon May 19 13:13:51 GMT 2025","passed","Mon May 19 13:13:58 GMT 2025","","test_console","",""
"This test attempts to load the 'create account' page from the Console.","1624","Test the 'create account' interface from the Console","tests.00-georchestra-base","Mon May 19 13:12:35 GMT 2025","passed","Mon May 19 13:12:37 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load the GeoServer main page.","3838","Test the GeoServer webapp","tests.00-georchestra-base","Mon May 19 13:12:44 GMT 2025","passed","Mon May 19 13:12:48 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed.","5321","Test the DataFeeder webapp","tests.00-georchestra-base","Mon May 19 13:12:39 GMT 2025","passed","Mon May 19 13:12:44 GMT 2025","","test_georchestra_apps","",""
"This test attempts to create the John Doe user by an admin.","8332","test_create_signup[chromium]","tests.console","Mon May 19 13:12:56 GMT 2025","passed","Mon May 19 13:13:04 GMT 2025","","test_console","",""
"This test attempts to load GeoNetwork.","77","Test the Geoserver headers","tests.00-georchestra-base","Mon May 19 13:18:40 GMT 2025","passed","Mon May 19 13:18:40 GMT 2025","","test_georchestra_headers","",""
"Test if data-api response headers contains only one Access-Control-Allow-Origin header.","425","Test the data-api headers","tests.00-georchestra-base","Mon May 19 13:18:40 GMT 2025","passed","Mon May 19 13:18:40 GMT 2025","","test_georchestra_headers","",""
"This test attempts delete the John Doe user by an admin.","5462","test_delete_user[chromium]","tests.console","Mon May 19 13:13:58 GMT 2025","passed","Mon May 19 13:14:04 GMT 2025","","test_console","",""
"This test attempts to render a map in an embedded web-component.","5849","test_map_embedded[chromium]","tests.geonetwork","Mon May 19 13:18:30 GMT 2025","passed","Mon May 19 13:18:36 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to validate the John Doe user by an admin.","7666","test_validate_created_user[chromium]","tests.console","Mon May 19 13:13:05 GMT 2025","passed","Mon May 19 13:13:13 GMT 2025","","test_console","",""
"This test attempts to load the MapStore landing page.","7161","Test the MapStore webapp","tests.00-georchestra-base","Mon May 19 13:12:48 GMT 2025","passed","Mon May 19 13:12:55 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load GeoNetwork.","3254","Test the GeoNetwork webapp","tests.00-georchestra-base","Mon May 19 13:12:32 GMT 2025","passed","Mon May 19 13:12:35 GMT 2025","","test_georchestra_apps","",""
"This test attempts to load a SHP file through datafeeder and check links.","117599","test_import_shp_datafeeder[chromium]","tests.datafeeder","Mon May 19 13:16:12 GMT 2025","failed","Mon May 19 13:18:09 GMT 2025","","test_ingest_data","",""
"This test attempts to change Bob Dylan's roles and add a delagation.","14066","test_roles_and_delegations[chromium]","tests.console","Mon May 19 13:13:23 GMT 2025","passed","Mon May 19 13:13:37 GMT 2025","","test_console","",""
"This test attempts to render a table in an embedded web-component.","4049","test_table_embedded[chromium]","tests.geonetwork","Mon May 19 13:18:36 GMT 2025","passed","Mon May 19 13:18:40 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts import a metatadata.","19238","test_import_metadata[chromium]","tests.geonetwork","Mon May 19 13:18:10 GMT 2025","passed","Mon May 19 13:18:29 GMT 2025","TestEmbedded","test_embedded","",""
"This test attempts to change Bob Dylan's informations.","9901","test_change_mail_and_password[chromium]","tests.console","Mon May 19 13:13:13 GMT 2025","broken","Mon May 19 13:13:23 GMT 2025","","test_console","",""
